Date,compound,neg,neu,pos,Close,Y-ENN
24-Mar-15,-0.6229,0.11,0.787,0.102,187.5,113.56028210708344
25-Mar-15,-0.9926,0.161,0.7909999999999999,0.049,185.94,114.51786785979341
26-Mar-15,-0.9878,0.156,0.79,0.054000000000000006,179.94,114.4293354308029
27-Mar-15,-0.9722,0.155,0.757,0.08800000000000001,176.29,113.93982058104028
30-Mar-15,-0.9552,0.139,0.779,0.081,169.4,113.97431269130563
31-Mar-15,-0.991,0.20199999999999999,0.74,0.057999999999999996,177.87,114.55105781529633
1-Apr-15,-0.505,0.09699999999999999,0.818,0.086,184.96,113.78638814132118
2-Apr-15,-0.991,0.16,0.794,0.046,187.66,114.55239275020725
3-Apr-15,-0.99,0.14800000000000002,0.794,0.057999999999999996,185.62,114.34146056283764
6-Apr-15,-0.9740000000000001,0.158,0.764,0.078,181.32,114.10078794926369
7-Apr-15,-0.9904,0.159,0.774,0.067,175.41,114.2597234822249
8-Apr-15,-0.9918,0.191,0.745,0.064,174.11,114.42866468982402
9-Apr-15,-0.2746,0.087,0.8320000000000001,0.081,181.68,113.85725719803017
10-Apr-15,0.4822,0.095,0.785,0.12,184.35,113.3284249030928
13-Apr-15,-0.9956,0.203,0.735,0.062,179.13,114.50052726193941
14-Apr-15,-0.9886,0.17600000000000002,0.7440000000000001,0.081,181.35,114.13312562576454
15-Apr-15,-0.9916,0.174,0.747,0.079,181.67,114.15041370883533
16-Apr-15,-0.9903,0.17300000000000001,0.732,0.095,188.51,113.91105314452345
17-Apr-15,-0.9233,0.11599999999999999,0.8059999999999999,0.078,185.19,113.92473938406202
20-Apr-15,-0.9828,0.13699999999999998,0.813,0.05,185.02,114.40994354369863
21-Apr-15,-0.9359999999999999,0.125,0.779,0.095,184.9,113.69719815138168
22-Apr-15,-0.9839,0.17,0.73,0.1,194.14,113.8230666631508
23-Apr-15,-0.9906,0.17800000000000002,0.78,0.042,195.34,114.67235938577818
24-Apr-15,-0.9911,0.172,0.765,0.063,195.97,114.36805106546379
27-Apr-15,-0.9939,0.20600000000000002,0.721,0.073,200.1,114.36352709068997
28-Apr-15,-0.9775,0.158,0.747,0.095,195.76,113.8462566557164
29-Apr-15,0.2582,0.09699999999999999,0.812,0.092,196.89,113.81971732093714
30-Apr-15,-0.9952,0.171,0.785,0.044000000000000004,200.6,114.61928934909781
4-May-15,-0.9884,0.155,0.802,0.043,203.01,114.57400863054212
5-May-15,-0.9204,0.14400000000000002,0.7390000000000001,0.11599999999999999,199.29,113.45395485119194
6-May-15,-0.9821,0.14,0.794,0.065,199.03,114.20844938794454
7-May-15,-0.9711,0.111,0.8390000000000001,0.05,200.02,114.30604618123914
8-May-15,-0.9927,0.183,0.7759999999999999,0.040999999999999995,200.23,114.70290894595236
11-May-15,-0.9766,0.131,0.8140000000000001,0.054000000000000006,199.98,114.32869207301522
12-May-15,-0.7059,0.12,0.765,0.115,203.48,113.38318514826943
13-May-15,-0.9941,0.196,0.727,0.077,201.25,114.26847960004926
14-May-15,-0.9749,0.147,0.755,0.09699999999999999,195.92,113.76268557360525
15-May-15,-0.9554,0.128,0.779,0.094,197.23,113.72985124341857
18-May-15,-0.9731,0.155,0.764,0.081,195.98,114.04397022278475
19-May-15,-0.9875,0.175,0.75,0.075,196.96,114.2126746213919
20-May-15,-0.9926,0.18600000000000003,0.743,0.071,197.32,114.3125251288381
21-May-15,-0.9801,0.13699999999999998,0.789,0.07400000000000001,196.94,114.06758290433102
22-May-15,-0.8265,0.107,0.809,0.084,196.12,113.80721110931894
25-May-15,-0.9319,0.106,0.823,0.071,193.93,113.9840887717408
26-May-15,-0.9911,0.179,0.753,0.068,193.06,114.32662506071327
27-May-15,-0.9443,0.134,0.769,0.098,195.89,113.69718665755636
28-May-15,-0.8992,0.098,0.8270000000000001,0.075,194.11,113.89226956417866
29-May-15,-0.9563,0.138,0.768,0.094,203.28,113.77360316652651
1-Jun-15,-0.9948,0.19699999999999998,0.7120000000000001,0.091,212.91,114.0728249689894
2-Jun-15,-0.9867,0.128,0.8420000000000001,0.03,209.95,114.64440676325485
3-Jun-15,-0.9129,0.10099999999999999,0.8240000000000001,0.075,209.42,113.90366081988935
4-Jun-15,-0.8574,0.098,0.8270000000000001,0.075,209.98,113.90003883852567
5-Jun-15,-0.9889,0.18100000000000002,0.7190000000000001,0.099,209.1,113.88381376629114
8-Jun-15,-0.9712,0.126,0.8190000000000001,0.055,199.96,114.29755404208112
9-Jun-15,-0.9775,0.14400000000000002,0.7809999999999999,0.075,204.8,114.08377804602844
10-Jun-15,-0.9109,0.133,0.764,0.10300000000000001,203.3,113.61534918970322
11-Jun-15,-0.9972,0.221,0.713,0.067,205.57,114.50310145245598
