Date,compound,neg,neu,pos,Close
20-Nov-12,-0.9918,0.184,0.757,0.059,109.61
21-Nov-12,-0.9873,0.204,0.728,0.067,109.3
22-Nov-12,-0.9553,0.188,0.689,0.123,108.75
23-Nov-12,-0.9702,0.206,0.692,0.103,108.82
26-Nov-12,-0.9607,0.25,0.646,0.104,107.91
27-Nov-12,-0.9882,0.218,0.696,0.087,108.29
28-Nov-12,-0.8591,0.103,0.814,0.083,108.33
29-Nov-12,-0.9856,0.187,0.775,0.038,109.53
30-Nov-12,0.8555,0.101,0.74,0.159,111.8
3-Dec-12,-0.9735,0.177,0.761,0.061,111.47
4-Dec-12,-0.9703,0.147,0.804,0.049,112
5-Dec-12,-0.8552,0.103,0.849,0.049,113.56
6-Dec-12,-0.8708,0.121,0.829,0.05,115.94
7-Dec-12,-0.7269,0.092,0.84,0.068,117.33
10-Dec-12,-0.9721,0.18,0.778,0.042,117.08
11-Dec-12,0.9238,0.049,0.843,0.108,116.53
12-Dec-12,-0.9381,0.151,0.776,0.073,116.15
13-Dec-12,-0.8834,0.095,0.864,0.041,115.76
14-Dec-12,-0.5624,0.135,0.746,0.119,116.97
17-Dec-12,-0.8442,0.113,0.822,0.064,116.96
18-Dec-12,-0.9612,0.123,0.837,0.04,118.01
19-Dec-12,-0.9729,0.195,0.753,0.051,118.33
20-Dec-12,-0.9698,0.128,0.817,0.054,118.14
21-Dec-12,-0.9847,0.199,0.757,0.045,117.88
24-Dec-12,-0.9545,0.181,0.733,0.086,117.84
26-Dec-12,-0.1531,0.072,0.854,0.074,117.92
27-Dec-12,-0.9854,0.228,0.718,0.054,117.64
28-Dec-12,-0.9771,0.156,0.771,0.073,118.07
31-Dec-12,-0.9861,0.225,0.691,0.083,117.81
1-Jan-13,-0.9731,0.131,0.818,0.052,117.81
2-Jan-13,-0.8074,0.158,0.733,0.109,115.54
3-Jan-13,-0.9726,0.19,0.709,0.101,115.5
4-Jan-13,-0.9908,0.203,0.738,0.059,114.98
7-Jan-13,-0.9813,0.23,0.691,0.079,114.02
8-Jan-13,-0.9922,0.266,0.69,0.044,114.73
9-Jan-13,-0.984,0.168,0.767,0.065,114.96
10-Jan-13,-0.9952,0.253,0.689,0.058,113.88
11-Jan-13,-0.9929,0.182,0.769,0.049,113.99
14-Jan-13,-0.9534,0.168,0.786,0.046,113.88
15-Jan-13,-0.992,0.189,0.777,0.034,110.35
16-Jan-13,-0.979,0.181,0.752,0.067,111.17
17-Jan-13,-0.9836,0.19,0.747,0.062,112.72
18-Jan-13,-0.9501,0.129,0.81,0.061,114.15
21-Jan-13,-0.9825,0.17,0.742,0.089,115.49
22-Jan-13,-0.9945,0.206,0.771,0.022,117.22
23-Jan-13,-0.9413,0.161,0.742,0.097,116.99
24-Jan-13,-0.989,0.213,0.759,0.028,117.01
28-Jan-13,0.5325,0.105,0.768,0.127,117.2
29-Jan-13,-0.9756,0.174,0.745,0.081,118.01
30-Jan-13,-0.9716,0.151,0.812,0.037,118.12
31-Jan-13,-0.5859,0.147,0.71,0.143,118.65
1-Feb-13,-0.9531,0.15,0.792,0.058,118.08
4-Feb-13,0.3182,0.116,0.746,0.138,118.71
6-Feb-13,-0.6093,0.13,0.763,0.108,119
7-Feb-13,-0.5809,0.107,0.785,0.108,117.27
8-Feb-13,-0.9559,0.147,0.774,0.079,117.65
11-Feb-13,-0.9922,0.188,0.776,0.036,116.99
12-Feb-13,-0.8979,0.1,0.825,0.075,117.44
13-Feb-13,-0.8168,0.112,0.799,0.089,116.93
14-Feb-13,-0.9906,0.206,0.706,0.088,116.83
15-Feb-13,-0.9756,0.195,0.739,0.067,116.93
18-Feb-13,-0.9888,0.142,0.843,0.016,116.7
19-Feb-13,-0.9638,0.171,0.728,0.1,116.48
20-Feb-13,-0.9846,0.184,0.741,0.075,116.42
21-Feb-13,-0.9955,0.221,0.696,0.083,116.73
22-Feb-13,-0.9934,0.246,0.709,0.045,116.52
25-Feb-13,-0.9493,0.14,0.791,0.068,116.18
26-Feb-13,-0.9246,0.151,0.776,0.073,115.72
27-Feb-13,-0.975,0.192,0.781,0.026,115.72
28-Feb-13,0.7783,0.057,0.85,0.094,116.17
1-Mar-13,-0.8945,0.125,0.804,0.072,115.13
4-Mar-13,-0.7369,0.139,0.791,0.071,115.42
5-Mar-13,-0.8979,0.116,0.82,0.064,114.74
6-Mar-13,-0.91,0.115,0.832,0.052,114.51
7-Mar-13,-0.9799,0.142,0.819,0.039,114.5
8-Mar-13,-0.9776,0.17,0.775,0.056,113.79
11-Mar-13,-0.959,0.136,0.844,0.019,113.05
12-Mar-13,-0.9493,0.125,0.82,0.055,114.24
13-Mar-13,-0.9769,0.211,0.681,0.108,113.25
14-Mar-13,0.2263,0.095,0.802,0.103,113.11
15-Mar-13,0,0,0,0,99.09
18-Mar-13,0,0,0,0,96.52
19-Mar-13,0,0,0,0,96.43
20-Mar-13,-0.9876,0.189,0.775,0.036,95.98
21-Mar-13,-0.9485,0.146,0.784,0.071,96.3
22-Mar-13,-0.9617,0.144,0.815,0.041,95.99
25-Mar-13,0.5423,0.09,0.811,0.1,96.48
26-Mar-13,-0.9505,0.137,0.821,0.042,95.85
27-Mar-13,-0.4215,0.13,0.739,0.131,96.59
28-Mar-13,-0.8793,0.101,0.834,0.065,96.6
29-Mar-13,-0.9041,0.168,0.718,0.113,96.51
1-Apr-13,-0.6249,0.118,0.774,0.108,97.06
2-Apr-13,-0.9393,0.095,0.878,0.028,96.93
3-Apr-13,-0.9799,0.169,0.786,0.045,97.13
4-Apr-13,-0.9638,0.131,0.815,0.053,96.94
5-Apr-13,-0.9057,0.12,0.819,0.06,96.98
8-Apr-13,-0.8555,0.106,0.845,0.049,96.45
9-Apr-13,-0.8935,0.128,0.786,0.085,96.14
10-Apr-13,-0.984,0.169,0.773,0.058,96.3
11-Apr-13,-0.9692,0.173,0.713,0.114,95.97
12-Apr-13,-0.2732,0.077,0.839,0.084,95.84
15-Apr-13,-0.8176,0.117,0.777,0.106,91.62
16-Apr-13,-0.9884,0.157,0.79,0.053,90.15
17-Apr-13,-0.9712,0.173,0.717,0.11,89.87
18-Apr-13,-0.9175,0.094,0.847,0.059,91.27
19-Apr-13,-0.7464,0.081,0.849,0.07,89.99
22-Apr-13,-0.8834,0.14,0.775,0.085,89.81
23-Apr-13,0.6486,0.078,0.794,0.128,89.92
24-Apr-13,-0.9623,0.132,0.803,0.064,90.03
